ID,Artist,Song
1004,Carola,Mitt i ett �ventyr
1075,Carola,N�r l�ven faller
3008,Carola,Det �r bara vi
3234,Carole King,So far away
3252,Carole King,You've got a friend
4432,Carole King,Jazzman
4434,Carole King,Sweet seasons
4436,Carole King,Will you love me tomorrow
4438,Carole King,Home again
4440,Carole King,Way over yonder
626,Carpenters,Close to you
627,Carpenters,Yesterday once more
628,Carpenters,Top of the world
629,Carpenters,Please Mr Postman
630,Carpenters,Superstar
632,Carpenters,There's a kind of hush
715,Cascada,Everytime we touch
90,Case,Missing you
1276,Cat Stevens,Father and son
1000,Cecilia Wennersten,Det vackraste
312,Celine Dion,Where does my heart beat now
416,Celine Dion,Power of love
419,Celine Dion,Because you loved me
443,Celine Dion,My heart will go on
532,Celine Dion,The power of the dream
533,Celine Dion,Falling into you
534,Celine Dion,Think twice
537,Celine Dion,Beauty and the beast
1134,Celine Dion,A new day has come
2444,Celine Dion,I surrender
2445,Celine Dion,That's the way it is
2543,Celine Dion,Goodbye's (the saddest word)
2979,Celine Dion,Baby close your eyes
3007,Celine Dion,Declaration of love
3019,Celine Dion,The first time ever I saw your face
3028,Celine Dion,God bless America
3031,Celine Dion,The greatest reward
3033,Celine Dion,Have you ever been in love
3059,Celine Dion,Just a little bit of love
3068,Celine Dion,Live
3071,Celine Dion,Love can move mountains
3078,Celine Dion,Make you happy
3088,Celine Dion,Nature boy
3111,Celine Dion,Right in front of you
3126,Celine Dion,Sorry for love
5089,Celine Dion,Don't Save It All For Christmas Day
426,Celine Dion & Clive Griffith,When I fall in love
436,Century Oldies,The voice of love
491,Century Oldies,What is youth
2168,Chairmen of the board,Give me just a little more time
2440,Chaka Khan,Through the fire
2964,Chaka Khan,Ain't nobody
3029,Chaka Khan,Got to be there
3051,Chaka Khan,I'm every woman
3086,Chaka Khan,My funny valentine
3131,Chaka Khan,Sweet thing
3717,Chant� Moore,Straight up
5091,Charlatans,The Only One I Know
2554,Charlene,I've never been to me
3990,Charlene Soraia,Wherever you will go
4260,Charles & Eddie,Would I lie to you
1256,Charley Pride,Kiss an angel good morning
5092,Charlie Puth Feat. Meghan Trainor,Marvin Gaye
5344,Charlie Puth Feat. Meghan Trainor,Marvin Gaye
910,Charlotte Perrelli,Hero
1725,Chas & Dave,Margate
1773,Chas & Dave,No pleasing you
4099,Cheap Trick,Surrender
4441,Cheap Trick,I want you to want me
4443,Cheap Trick,Don't be cruel
4444,Cheap Trick,The flame
4445,Cheap Trick,She's tight
4447,Cheap Trick,Can't stop fallin' into love
202,Cheeky Girls,Cheeky song (Touch my bum)
1405,Cher,If I could turn back time
1478,Cher,The shoop shoop song
2969,Cher,All or nothing
3005,Cher,Dark lady
3061,Cher,Just like Jesse James
3070,Cher,Love and understanding
3072,Cher,Love hurts
3104,Cher,The power
3141,Cher,Song for the lonely
5854,Cher,Belive
1746,Cheryl Lynn,Got to be real
2372,Chess,I know him so well
2169,Chi-Lites,Oh girl
3520,Chi-Lites,Have you seen her
4230,Chic,Le freak
531,Chicago,Hard to say I'm sorry
85,Chieftains feat. The Corrs,I know my love
3987,"Chingy, Snoop Dogg & Ludacris",Holidae inn
3001,Chris Brown,Crawl
3013,Chris Brown,Dreamer
3155,Chris Brown,With you
3157,Chris Brown,Yo (excuse me)
4199,Chris Brown & Justin Bieber,Next 2 you
2416,Chris Cornell,You know my name
749,Chris Daughtry,Home
4449,Chris Isaak,Blue hotel
4450,Chris Isaak,Somebody's crying
4451,Chris Isaak,Let me down easy
4452,Chris Isaak,Life will go on
4453,Chris Isaak,One day
4456,Chris Isaak,Dark moon
4457,Chris Isaak,Think of tomorrow
4460,Chris Isaak,Flying
4320,Chris Medina,What are words
3387,Chris Rea,Auberge
3388,Chris Rea,Driving home for christmas
3390,Chris Rea,I can hear your heart beat
3395,Chris Rea,On the beach
3396,Chris Rea,Stainsby girls
3397,Chris Rea,The road to hell (part 2)
5542,Chris Stapleton,Tennessee Whickey
918,Christer Sj�gren,I love Europe
221,Christina Aguilera,Beautiful (remix)
1131,Christina Aguilera,Ain't no other man
1289,Christina Aguilera,I turn to you
1638,Christina Aguilera,Beautiful (original)
1839,Christina Aguilera,Come on over
1840,Christina Aguilera,Reflection
235,Christina Aguilera & Lil Kim,Can't hold us down
5094,Christina Aguilera And Luis Fonsi,Si No Te Hubiera Conocido
88,"Christina Aguilera, Lil Kim, Mya & Pink",Lady Marmalade
125,Christina Millian,When you look at me
2199,Chuck Berry,Roll over Beethoven
5096,Chuck Berry,Johnny B Goode
1517,Claes-G�ran Hederstr�m,Det b�rjar verka k�rlek banne mig
340,Clair Marlow,Till they take my heart away
2587,Clarence Carter,Stroking
762,Clash,Should I stay or should I go
2003,Clash,I fought the law
2004,Clash,London calling
5773,Clean Bandit ft 24Kgoldn,Tick tock
5774,Clean Bandit ft Zara Larssn,Symphony
